,data_type,tax_status,year,month,type,month_current,month_prior_year,ytd_current,ytd_prior_year,tax_rate
212,Barrels Produced,Taxable,2009,8,"Tax Determined, Premises Use",5647,6841,216133.0,238420.0,$7/$18 per barrel
213,Barrels Produced,Sub Total Taxable,2009,8,Sub Total Taxable,15718100,16454773,126828687.0,127172722.0,$7/$18 per barrel
214,Barrels Produced,Tax Free,2009,8,For export,333648,344311,2681176.0,2701282.0,$7/$18 per barrel
215,Barrels Produced,Tax Free,2009,8,For vessels and aircraft,0,0,0.0,3.0,$7/$18 per barrel
216,Barrels Produced,Tax Free,2009,8,Consumed on brewery premises,1115,989,19852.0,20905.0,$7/$18 per barrel
217,Barrels Produced,Sub Total Tax-Free,2009,8,Sub Total Tax-Free,334763,345300,2701028.0,2722190.0,$7/$18 per barrel
218,Barrels Produced,Totals,2009,8,Total Removals,16052863,16800073,129529715.0,129894912.0,$7/$18 per barrel
219,Barrels Produced,Totals,2009,8,Stocks On Hand end-of-month:,10143218,11185670,84666116.0,84088993.0,$7/$18 per barrel
220,Barrels Produced,Totals,2009,9,Production,16007178,16360651,153205951.0,155313528.0,$7/$18 per barrel
221,Barrels Produced,Taxable,2009,9,In bottles and cans,13643212,14432000,128675836.0,129746149.0,$7/$18 per barrel
222,Barrels Produced,Taxable,2009,9,In barrels and kegs,1595488,1555156,13212984.0,13175653.0,$7/$18 per barrel
223,Barrels Produced,Taxable,2009,9,"Tax Determined, Premises Use",93891,100494,315484.0,339383.0,$7/$18 per barrel
224,Barrels Produced,Sub Total Taxable,2009,9,Sub Total Taxable,15332591,16087650,142204304.0,143261185.0,$7/$18 per barrel
225,Barrels Produced,Tax Free,2009,9,For export,297696,340179,2979003.0,3041639.0,$7/$18 per barrel
226,Barrels Produced,Tax Free,2009,9,For vessels and aircraft,0,101,0.0,124.0,$7/$18 per barrel
227,Barrels Produced,Tax Free,2009,9,Consumed on brewery premises,8471,8781,28308.0,29686.0,$7/$18 per barrel
228,Barrels Produced,Sub Total Tax-Free,2009,9,Sub Total Tax-Free,306167,349061,3007311.0,3071449.0,$7/$18 per barrel
229,Barrels Produced,Totals,2009,9,Total Removals,15638758,16436711,145211615.0,146332634.0,$7/$18 per barrel
230,Barrels Produced,Totals,2009,9,Stocks On Hand end-of-month:,9805959,10187020,94520538.0,94276668.0,$7/$18 per barrel
